"gene"	"count"
"188"	"ENSG00000104320"	0
"189"	"ENSG00000163125"	1
"190"	"ENSG00000146426"	2
"191"	"ENSG00000128683"	0
"192"	"ENSG00000116030"	0
"193"	"ENSG00000128573"	0
"194"	"ENSG00000143199"	1
"195"	"ENSG00000141084"	0
"196"	"ENSG00000168646"	0
"197"	"ENSG00000014914"	1
"198"	"ENSG00000106278"	0
"199"	"ENSG00000197756"	1
"200"	"ENSG00000185527"	0
"201"	"ENSG00000101680"	3
"202"	"ENSG00000146223"	0
"203"	"ENSG00000073754"	1
"204"	"ENSG00000076321"	0
"205"	"ENSG00000066135"	0
"206"	"ENSG00000128713"	0
"207"	"ENSG00000152078"	0
"208"	"ENSG00000151718"	1
"209"	"ENSG00000170175"	0
"210"	"ENSG00000108771"	0
"211"	"ENSG00000204188"	0
"212"	"ENSG00000139908"	0
"213"	"ENSG00000186153"	1
"214"	"ENSG00000069849"	0
"215"	"ENSG00000110841"	0
"216"	"ENSG00000211656"	0
"217"	"ENSG00000135476"	0
"218"	"ENSG00000198380"	0
"219"	"ENSG00000152904"	0
"220"	"ENSG00000011143"	0
"221"	"ENSG00000115762"	0
"222"	"ENSG00000164035"	0
"223"	"ENSG00000122966"	0
"224"	"ENSG00000151876"	0
"225"	"ENSG00000168918"	2
"226"	"ENSG00000112319"	0
"227"	"ENSG00000188986"	0
"228"	"ENSG00000197181"	0
"229"	"ENSG00000136098"	0
"230"	"ENSG00000051415"	0
"231"	"ENSG00000040933"	1
"232"	"ENSG00000116957"	0
"233"	"ENSG00000132703"	0
"234"	"ENSG00000131381"	0
"235"	"ENSG00000115944"	0
"236"	"ENSG00000137054"	0
"237"	"ENSG00000115266"	0
"238"	"ENSG00000138802"	1
"239"	"ENSG00000164896"	0
"240"	"ENSG00000158022"	0
"241"	"ENSG00000004864"	1
"242"	"ENSG00000139613"	0
"243"	"ENSG00000151846"	0
"244"	"ENSG00000100425"	0
"245"	"ENSG00000187574"	0
"246"	"ENSG00000047188"	1
"247"	"ENSG00000092421"	0
"248"	"ENSG00000187266"	0
"249"	"ENSG00000113580"	0
"250"	"ENSG00000111652"	0
"251"	"ENSG00000158864"	1
"252"	"ENSG00000168268"	1
"253"	"ENSG00000166710"	0
"254"	"ENSG00000078142"	0
"255"	"ENSG00000146826"	0
"256"	"ENSG00000048740"	1
"257"	"ENSG00000206476"	0
"258"	"ENSG00000137857"	1
"259"	"ENSG00000164066"	2
"260"	"ENSG00000186297"	0
"261"	"ENSG00000011566"	1
"262"	"ENSG00000014216"	0
"263"	"ENSG00000063761"	2
"264"	"ENSG00000139874"	0
"265"	"ENSG00000152049"	0
"266"	"ENSG00000156113"	0
"267"	"ENSG00000080493"	0
"268"	"ENSG00000079689"	0
"269"	"ENSG00000154188"	0
"270"	"ENSG00000112112"	0
"271"	"ENSG00000133740"	0
"272"	"ENSG00000131187"	0
"273"	"ENSG00000136100"	0
"274"	"ENSG00000163104"	2
"275"	"ENSG00000048392"	0
"276"	"ENSG00000070601"	0
"277"	"ENSG00000121716"	0
"278"	"ENSG00000125875"	0
"279"	"ENSG00000148795"	0
"280"	"ENSG00000107165"	1
"281"	"ENSG00000101439"	0
"282"	"ENSG00000187681"	0
"283"	"ENSG00000116525"	0
"284"	"ENSG00000135090"	1
"285"	"ENSG00000198049"	0
"286"	"ENSG00000091831"	1
"287"	"ENSG00000183795"	0
"288"	"ENSG00000075945"	0
"289"	"ENSG00000158352"	0
"290"	"ENSG00000197079"	0
"291"	"ENSG00000203722"	0
"292"	"ENSG00000138434"	1
"293"	"ENSG00000162191"	0
"294"	"ENSG00000102900"	0
"295"	"ENSG00000124356"	0
"296"	"ENSG00000050438"	0
"297"	"ENSG00000172995"	1
"298"	"ENSG00000213934"	0
"299"	"ENSG00000150753"	1
"300"	"ENSG00000172531"	0
"301"	"ENSG00000071054"	3
"302"	"ENSG00000165891"	0
"303"	"ENSG00000124588"	1
"304"	"ENSG00000076258"	0
"305"	"ENSG00000006128"	0
"306"	"ENSG00000172288"	0
"307"	"ENSG00000137880"	0
"308"	"ENSG00000121653"	0
"309"	"ENSG00000112312"	0
"310"	"ENSG00000157350"	1
"311"	"ENSG00000176986"	0
"312"	"ENSG00000197329"	0
"313"	"ENSG00000144824"	1
"314"	"ENSG00000155629"	2
"315"	"ENSG00000197312"	1
"316"	"ENSG00000172575"	0
"317"	"ENSG00000059915"	1
"318"	"ENSG00000198498"	0
"319"	"ENSG00000106665"	0
"320"	"ENSG00000185559"	0
"321"	"ENSG00000114854"	0
"322"	"ENSG00000172732"	1
"323"	"ENSG00000129472"	0
"324"	"ENSG00000091140"	0
"325"	"ENSG00000084110"	0
"326"	"ENSG00000135845"	0
"327"	"ENSG00000076555"	1
"328"	"ENSG00000123472"	2
"329"	"ENSG00000161526"	0
"330"	"ENSG00000165209"	0
"331"	"ENSG00000187531"	1
"332"	"ENSG00000127743"	0
"333"	"ENSG00000132872"	0
"334"	"ENSG00000101255"	0
"335"	"ENSG00000116120"	1
"336"	"ENSG00000168772"	0
"337"	"ENSG00000130734"	0
"338"	"ENSG00000171735"	0
"339"	"ENSG00000071242"	0
"340"	"ENSG00000103546"	0
"341"	"ENSG00000078618"	0
"342"	"ENSG00000105376"	0
"343"	"ENSG00000170289"	0
"344"	"ENSG00000145040"	0
"345"	"ENSG00000122584"	0
"346"	"ENSG00000125531"	0
"347"	"ENSG00000107262"	0
"348"	"ENSG00000089060"	0
"349"	"ENSG00000015676"	1
"350"	"ENSG00000214415"	0
"351"	"ENSG00000112996"	0
"352"	"ENSG00000155085"	0
"353"	"ENSG00000164296"	0
"354"	"ENSG00000125746"	0
"355"	"ENSG00000154342"	1
"356"	"ENSG00000196611"	0
"357"	"ENSG00000137124"	0
"358"	"ENSG00000005471"	1
"359"	"ENSG00000109466"	0
"360"	"ENSG00000152219"	0
"361"	"ENSG00000185272"	0
"362"	"ENSG00000164438"	0
"363"	"ENSG00000163882"	0
"364"	"ENSG00000081026"	1
"365"	"ENSG00000143315"	0
"366"	"ENSG00000176797"	0
"367"	"ENSG00000104823"	0
"368"	"ENSG00000198860"	0
"369"	"ENSG00000125744"	0
"370"	"ENSG00000165792"	0
"371"	"ENSG00000076356"	2
"372"	"ENSG00000117154"	0
"373"	"ENSG00000117519"	0
"374"	"ENSG00000162482"	0
"375"	"ENSG00000139697"	1
"376"	"ENSG00000204120"	0
"377"	"ENSG00000115524"	0
"378"	"ENSG00000178057"	0
"379"	"ENSG00000143333"	0
"380"	"ENSG00000180901"	0
"381"	"ENSG00000211619"	0
"382"	"ENSG00000115129"	0
"383"	"ENSG00000007541"	0
"384"	"ENSG00000184857"	0
"385"	"ENSG00000010610"	0
